дата;время;предмет;место встречи ;вид занятия ;преподаватель
13.11.2024;10.10-11.40;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
13.11.2024;11.50-13.20;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
13.11.2024;13.50-15.20;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
13.11.2024;15.30-17.00;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
14.11.2024;10:10 - 11:40;Внедрение информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
14.11.2024;11:50 - 13:20;Внедрение информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
14.11.2024;13:50 - 15:20;Экономика отрасли;304в В;Лекция;Паскина М.В.
14.11.2024;15:30 - 17:00;Экономика отрасли;304в В;Практическое занятие;Паскина М.В.
15.11.2024;13:50 - 15:20;Разработка кода информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
15.11.2024;15:30 - 17:00;Разработка кода информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
18.11.2024;10:10 - 11:40;Разработка кода информационных систем;304в В;Лекция;Куликовская А.А.
18.11.2024;11:50 - 13:20;Разработка кода информационных систем;304в В;Лекция;Куликовская А.А.
18.11.2024;13:50 - 15:20;Проектирование и дизайн информационных систем;304в В;Лекция;.
18.11.2024;15:30 - 17:00;Проектирование и дизайн информационных систем;304в В;Лекция;.
19.11.2024;13:50 - 15:20;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
19.11.2024;15:30 - 17:00;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
20.11.2024;10:10 - 11:40;Теория вероятностей и математическая статистика;304в В;Лекция;Бахристова А.А.
20.11.2024;11:50 - 13:20;Теория вероятностей и математическая статистика;304в В;Практическое занятие;Бахристова А.А.
20.11.2024;13:50 - 15:20;Менеджмент в профессиональной деятельности;304в В;Лекция;Пантелеев Д.М.
20.11.2024;15:30 - 17:00;Менеджмент в профессиональной деятельности;304в В;Практическое занятие;Пантелеев Д.М.
21.11.2024;10:10 - 11:40;Инженерно-техническая поддержка сопровождения информационных систем;304в В;Лекция;.
21.11.2024;11:50 - 13:20;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
21.11.2024;13:50 - 15:20;Дискретная математика с элементами математической логики;304в В;Лекция;Сафонов П.П.
21.11.2024;15:30 - 17:00;Дискретная математика с элементами математической логики;304в В;Практическое занятие;Сафонов П.П.
22.11.2024;13:50 - 15:20;Проектирование и дизайн информационных систем;304в В;Лекция;.
22.11.2024;15:30 - 17:00;Проектирование и дизайн информационных систем;304в В;Лекция;.
23.11.2024;13:50 - 15:20;Инженерно-техническая поддержка сопровождения информационных систем;304в В;Лекция;.
23.11.2024;15:30 - 17:00;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
25.11.2024;10:10 - 11:40;Основы проектирования баз данных;304в В;Лекция;Куликовская А.А.
25.11.2024;11:50 - 13:20;Основы проектирования баз данных;304в В;Лекция;Куликовская А.А.
25.11.2024;13:50 - 15:20;Проектирование и дизайн информационных систем;304в В;Лекция;.
25.11.2024;15:30 - 17:00;Проектирование и дизайн информационных систем;304в В;Лекция;.
26.11.2024;13:50 - 15:20;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
26.11.2024;15:30 - 17:00;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
27.11.2024;13:50 - 15:20;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
27.11.2024;15:30 - 17:00;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
28.11.2024;13:50 - 15:20;Экономика отрасли;304в В;Лекция;Паскина М.В.
